file,rms,p2p,crest,kurtosis_excess,be_2000_4000,be_4000_6000,be_6000_8000,be_8000_10000,env_energy
1,0.4954695706196029,3.887760639190674,4.018646388495401,-0.018922211719412108,0.18570258615794671,0.1908454023405061,0.22285313938456308,0.12064071983497397,0.5410806020805564
2,0.4884995661519619,4.176545143127441,4.341418277052243,0.03468775076651731,0.18100362666109307,0.18831243314911886,0.2198431302250027,0.11936567063489723,0.5322095516233951
3,0.4965689778886212,4.1918158531188965,4.355395991249674,0.07157971304780819,0.18462919862926866,0.19189665208142065,0.22130102011010364,0.12418619392473412,0.5409034348752606
4,0.4975041087009499,4.150176048278809,4.285077308127287,0.011664763578976167,0.17726544933219018,0.20424520240212535,0.21857427662481962,0.1249646533428585,0.5468299615123795
5,0.509464185170862,3.99167537689209,3.9292225267066203,0.008823927867861237,0.18410717845012925,0.20917422390240853,0.22769986711938536,0.13217934197833434,0.5660942602656789
6,0.501653969864518,4.127895832061768,4.126821136517264,-0.019467673199934588,0.1815174373464425,0.19706431822843262,0.2263485506645118,0.12659126511336338,0.5473779648733291
7,0.50829632876494,4.190957546234131,4.3507835254621785,-0.031323881432761436,0.18753827925254388,0.2067697424912035,0.22606314169179764,0.13111348400611403,0.5626405258326884
8,0.501480793805545,4.399478435516357,4.806778708025934,-0.007016180896786572,0.18424641331428343,0.197508699311039,0.22737840621932023,0.12539177487629227,0.5512385015721876
9,0.49255034363820804,3.8808703422546387,4.048199918030702,0.0069963287746954705,0.18548697867473,0.19322345697089463,0.2245329557068069,0.1229632499677081,0.5436841510722417
10,0.49759502486566887,4.308068752288818,4.35700414580808,0.0684046522463877,0.18067424953377775,0.20103213038361376,0.2247980943057182,0.12122343751593398,0.5473637931983053
